category,description,nutrient_data_bank_number,alpha_carotene_mcg,beta_carotene_mcg,beta_cryptoxanthin_mcg,carbohydrate_g,cholesterol_mg,choline_mg,fiber_g,lutein_zeaxanthin_mcg,lycopene_mcg,niacin_mg,protein_g,retinol_mcg,riboflavin_mg,selenium_mcg,sugars_g,thiamin_mg,water_g,mono_fat_g,poly_fat_g,saturated_fat_g,total_fat_g,calcium_mg,copper_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,vitamin_a_mcg,vitamin_b12_mcg,vitamin_b6_mg,vitamin_c_mg,vitamin_e_mg,vitamin_k_mcg,desc_lower,calories_calc,protein_pct_cal,carb_pct_cal,fat_pct_cal,protein_per_100kcal,fiber_per_100kcal,calcium_per_100kcal,iron_per_100kcal,nutrient_density_score,nds_per_100kcal,cws,is_fortified,is_plant_based,is_infant,is_raw,nova_level,processing_level,sub_group,main_group,nds_rank,cws_rank,nds,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium,vitamin_a_rae,vitamin_c,vitamin_k,calcium,iron,nds_score_norm,cws_score_norm,protein_pct,carb_pct,fat_pct
Baked beans from fast food / restaurant,Baked beans from fast food / restaurant,41201050,0,9,2,23.29,7,21.6,4.3,9,80,0.28,4.38,0,0.014,4.7,10.38,0.03,69.2,0.418,0.587,0.29,1.35,38,0.166,1.36,29,85,224,491,0.49,1,0.0,0.046,0.0,0.1,1.0,baked beans from fast food / restaurant,122.83,14.3,75.8,9.9,3.57,3.5,30.94,1.107,33.8,27.52,40.2,0,0,False,False,4,Ultra-processed,Other,Other,3452,1655,33.8,122.83,4.38,23.29,1.35,4.3,10.38,491,1,0.0,1.0,38,1.36,33.8,40.2,14.3,75.8,9.9
Beans and tomatoes,"Beans and tomatoes, no added fat",41202505,0,85,1,18.76,0,26.3,6.4,8,4568,0.558,6.37,0,0.06,3.4,1.39,0.138,72.41,0.088,0.196,0.104,0.51,32,0.182,1.71,42,106,374,370,0.75,7,0.0,0.15,2.7,1.09,3.2,"beans and tomatoes, no added fat",105.11,24.2,71.4,4.4,6.06,6.09,30.44,1.627,39.0,37.1,49.2,0,0,False,False,1,Unprocessed,Other,Other,745,412,39.0,105.11,6.37,18.76,0.51,6.4,1.39,370,7,2.7,3.2,32,1.71,39.0,49.2,24.2,71.4,4.4
Beans and tomatoes,"Beans and tomatoes, fat added",41202510,0,81,1,17.84,0,25.0,6.1,7,4327,0.528,6.05,0,0.057,3.3,1.32,0.131,68.68,2.216,2.282,0.795,5.58,31,0.173,1.63,39,100,355,351,0.71,7,0.0,0.144,2.5,1.63,9.1,"beans and tomatoes, fat added",145.78,16.6,49.0,34.4,4.15,4.18,21.26,1.118,38.5,26.41,47.3,0,0,False,False,1,Unprocessed,Other,Other,831,499,38.5,145.78,6.05,17.84,5.58,6.1,1.32,351,7,2.5,9.1,31,1.63,38.5,47.3,16.6,49.0,34.4
Beans and franks,Beans and franks,41206030,0,7,2,17.29,19,30.5,3.3,7,62,0.907,6.74,0,0.043,7.6,6.17,0.062,69.1,2.326,0.543,2.076,5.22,33,0.144,1.36,25,95,224,438,0.9,1,0.28,0.082,0.0,0.08,0.4,beans and franks,143.1,18.8,48.3,32.8,4.71,2.31,23.06,0.95,33.5,23.41,39.3,0,0,False,False,1,Unprocessed,Other,Other,3703,1989,33.5,143.1,6.74,17.29,5.22,3.3,6.17,438,1,0.0,0.4,33,1.36,33.5,39.3,18.8,48.3,32.8
Baked beans,"Baked beans, reduced sodium",41221000,0,64,0,20.35,0,30.6,5.5,16,497,0.406,4.77,0,0.057,4.5,7.73,0.142,72.1,0.035,0.171,0.102,0.4,50,0.205,0.29,32,103,294,270,1.39,5,0.0,0.123,2.9,0.15,0.8,"baked beans, reduced sodium",104.08,18.3,78.2,3.5,4.58,5.28,48.04,0.279,36.5,35.07,46.3,0,0,False,False,3,Processed,Other,Other,1551,567,36.5,104.08,4.77,20.35,0.4,5.5,7.73,270,5,2.9,0.8,50,0.29,36.5,46.3,18.3,78.2,3.5
Blackeyed peas,"Blackeyed peas, from dried",41301010,0,8,0,19.29,0,29.9,6.0,0,0,0.437,7.18,0,0.049,2.3,3.07,0.178,65.1,2.765,2.889,1.018,7.0,23,0.249,2.34,49,145,258,220,1.2,1,0.0,0.088,0.4,1.02,9.2,"blackeyed peas, from dried",168.88,17.0,45.7,37.3,4.25,3.55,13.62,1.386,38.6,22.86,48.4,0,0,False,False,2,Minimally processed,Other,Other,809,448,38.6,168.88,7.18,19.29,7.0,6.0,3.07,220,1,0.4,9.2,23,2.34,38.6,48.4,17.0,45.7,37.3
Chickpeas,"Chickpeas, from dried, fat added",41302010,0,15,0,25.48,0,39.8,7.1,0,0,0.464,8.23,0,0.056,3.4,4.46,0.102,55.96,3.266,3.754,1.14,8.91,46,0.327,2.7,45,156,270,222,1.42,1,0.0,0.123,1.1,1.09,11.4,"chickpeas, from dried, fat added",215.03,15.3,47.4,37.3,3.83,3.3,21.39,1.256,39.7,18.46,50.7,0,0,False,False,2,Minimally processed,Other,Other,664,333,39.7,215.03,8.23,25.48,8.91,7.1,4.46,222,1,1.1,11.4,46,2.7,39.7,50.7,15.3,47.4,37.3
Chickpeas,"Chickpeas, from dried, no added fat",41302020,0,16,0,27.26,0,42.5,7.6,0,0,0.497,8.81,0,0.059,3.7,4.77,0.11,59.85,0.58,1.149,0.267,2.58,49,0.35,2.87,48,167,289,238,1.52,1,0.0,0.131,1.2,0.35,4.0,"chickpeas, from dried, no added fat",167.5,21.0,65.1,13.9,5.26,4.54,29.25,1.713,40.5,24.18,52.8,0,0,False,False,2,Minimally processed,Other,Other,584,243,40.5,167.5,8.81,27.26,2.58,7.6,4.77,238,1,1.2,4.0,49,2.87,40.5,52.8,21.0,65.1,13.9
Chickpeas,"Chickpeas, from canned, fat added",41302040,0,14,0,21.61,0,37.0,7.0,0,0,0.198,7.88,0,0.023,3.2,4.15,0.049,59.15,3.32,3.977,1.179,9.35,56,0.245,1.98,43,128,231,315,1.1,2,0.0,0.72,0.2,1.03,10.9,"chickpeas, from canned, fat added",202.11,15.6,42.8,41.6,3.9,3.46,27.71,0.98,38.6,19.1,49.3,0,0,False,False,3,Processed,Other,Other,809,404,38.6,202.11,7.88,21.61,9.35,7.0,4.15,315,2,0.2,10.9,56,1.98,38.6,49.3,15.6,42.8,41.6
Chickpeas,"Chickpeas, from canned, no added fat",41302080,0,15,0,22.45,0,38.4,7.3,0,0,0.205,8.19,0,0.024,3.3,4.31,0.051,64.03,0.739,1.466,0.339,3.24,58,0.255,2.05,45,133,240,327,1.15,2,0.0,0.748,0.2,0.32,3.7,"chickpeas, from canned, no added fat",151.72,21.6,59.2,19.2,5.4,4.81,38.23,1.351,39.0,25.71,51.0,0,0,False,False,3,Processed,Other,Other,745,323,39.0,151.72,8.19,22.45,3.24,7.3,4.31,327,2,0.2,3.7,58,2.05,39.0,51.0,21.6,59.2,19.2
Chickpeas,"Chickpeas, from canned, reduced sodium",41302110,0,14,0,21.64,0,37.1,7.1,0,0,0.198,7.89,0,0.023,3.2,4.16,0.049,59.35,3.325,3.983,1.181,9.37,56,0.245,1.98,43,128,231,212,1.11,2,0.0,0.721,0.2,1.04,10.9,"chickpeas, from canned, reduced sodium",202.45,15.6,42.8,41.7,3.9,3.51,27.66,0.978,39.0,19.26,50.6,0,0,False,False,3,Processed,Other,Other,745,339,39.0,202.45,7.89,21.64,9.37,7.1,4.16,212,2,0.2,10.9,56,1.98,39.0,50.6,15.6,42.8,41.7
Split peas,"Split peas, from dried, no added fat",41303000,0,4,0,20.97,0,32.6,8.2,0,0,0.84,8.29,0,0.053,0.6,2.88,0.179,69.08,0.081,0.164,0.054,0.39,14,0.18,1.28,36,98,360,233,0.99,0,0.0,0.045,0.4,0.03,5.0,"split peas, from dried, no added fat",120.55,27.5,69.6,2.9,6.88,6.8,11.61,1.062,39.9,33.1,54.9,0,0,False,False,2,Minimally processed,Other,Other,647,177,39.9,120.55,8.29,20.97,0.39,8.2,2.88,233,0,0.4,5.0,14,1.28,39.9,54.9,27.5,69.6,2.9
Split peas,"Split peas, from dried, fat added",41303010,0,4,0,19.61,0,30.5,7.7,0,0,0.786,7.75,0,0.049,0.6,2.7,0.168,64.58,2.8,2.833,0.94,6.87,13,0.168,1.21,33,92,336,218,0.93,0,0.0,0.042,0.4,0.79,12.3,"split peas, from dried, fat added",171.27,18.1,45.8,36.1,4.53,4.5,7.59,0.706,39.2,22.89,52.2,0,0,False,False,2,Minimally processed,Other,Other,720,261,39.2,171.27,7.75,19.61,6.87,7.7,2.7,218,0,0.4,12.3,13,1.21,39.2,52.2,18.1,45.8,36.1
Wasabi peas,Wasabi peas,41304000,42,901,0,62.2,0,57.9,3.8,4930,0,5.06,14.11,0,0.314,7.2,14.11,0.614,6.93,5.792,1.951,5.29,14.11,123,0.444,3.8,102,270,732,300,3.31,77,0.0,0.548,0.0,2.31,50.3,wasabi peas,432.23,13.1,57.6,29.4,3.26,0.88,28.46,0.879,43.9,10.16,44.7,0,0,False,False,1,Unprocessed,Other,Other,391,727,43.9,432.23,14.11,62.2,14.11,3.8,14.11,300,77,0.0,50.3,123,3.8,43.9,44.7,13.1,57.6,29.4
Lentils,"Lentils, from dried, fat added",41304990,0,5,0,18.71,0,30.4,7.3,0,0,0.936,8.38,0,0.064,2.6,1.67,0.149,64.72,2.784,2.842,0.939,6.86,18,0.233,3.11,33,167,343,218,1.18,0,0.0,0.157,1.3,0.86,9.2,"lentils, from dried, fat added",170.1,19.7,44.0,36.3,4.93,4.29,10.58,1.828,40.1,23.57,52.0,0,1,False,False,2,Minimally processed,Other,Other,620,272,40.1,170.1,8.38,18.71,6.86,7.3,1.67,218,0,1.3,9.2,18,3.11,40.1,52.0,19.7,44.0,36.3
Lentils,"Lentils, from dried, no added fat",41305000,0,5,0,20.01,0,32.5,7.9,0,0,1.001,8.97,0,0.069,2.8,1.79,0.16,69.23,0.064,0.174,0.053,0.38,19,0.25,3.31,36,179,367,233,1.26,0,0.0,0.168,1.4,0.11,1.7,"lentils, from dried, no added fat",119.34,30.1,67.1,2.9,7.52,6.62,15.92,2.774,41.0,34.36,55.2,0,1,False,False,2,Minimally processed,Other,Other,545,173,41.0,119.34,8.97,20.01,0.38,7.9,1.79,233,0,1.4,1.7,19,3.31,41.0,55.2,30.1,67.1,2.9
Lentils,"Lentils, from canned",41305020,0,5,0,18.66,0,30.3,7.3,0,0,0.933,8.36,0,0.064,2.6,1.67,0.149,64.54,2.776,2.834,0.936,6.84,18,0.233,3.1,33,167,342,325,1.18,0,0.0,0.157,1.3,0.86,9.2,"lentils, from canned",169.64,19.7,44.0,36.3,4.93,4.3,10.61,1.827,39.6,23.34,50.9,0,1,False,False,3,Processed,Other,Other,672,330,39.6,169.64,8.36,18.66,6.84,7.3,1.67,325,0,1.3,9.2,18,3.1,39.6,50.9,19.7,44.0,36.3
Papad,"Papad, grilled or broiled",41311000,0,4,0,59.87,4,0.4,18.6,1,0,1.472,25.56,13,0.258,8.3,0.0,0.277,3.49,0.532,1.148,1.084,3.25,143,0.998,7.8,271,385,1000,1745,3.4,13,0.0,0.285,0.0,0.05,0.4,"papad, grilled or broiled",370.97,27.6,64.6,7.9,6.89,5.01,38.55,2.103,60.7,16.36,53.7,0,0,False,False,2,Minimally processed,Other,Other,68,215,60.7,370.97,25.56,59.87,3.25,18.6,0.0,1745,13,0.0,0.4,143,7.8,60.7,53.7,27.6,64.6,7.9
Soy nuts,Soy nuts,41410010,0,120,0,30.22,0,124.3,17.7,0,0,1.41,38.55,0,0.145,19.1,4.2,0.1,1.95,5.61,14.339,3.674,25.4,138,0.828,3.9,145,363,1470,163,3.14,10,0.0,0.208,2.2,0.91,50.4,soy nuts,503.68,30.6,24.0,45.4,7.65,3.51,27.4,0.774,66.3,13.16,70.2,0,1,False,False,1,Unprocessed,Other,Other,40,15,66.3,503.68,38.55,30.22,25.4,17.7,4.2,163,10,2.2,50.4,138,3.9,66.3,70.2,30.6,24.0,45.4
Soy chips,Soy chips,41410015,0,0,0,53.15,0,110.9,3.5,0,0,2.978,26.5,0,0.349,12.1,1.8,0.333,8.5,1.661,4.018,1.102,7.35,171,2.456,5.2,170,7,7,842,1.5,0,0.0,0.513,0.0,1.01,11.9,soy chips,384.75,27.6,55.3,17.2,6.89,0.91,44.44,1.352,44.1,11.46,41.9,0,1,False,False,4,Ultra-processed,Other,Other,384,1209,44.1,384.75,26.5,53.15,7.35,3.5,1.8,842,0,0.0,11.9,171,5.2,44.1,41.9,27.6,55.3,17.2
Natto,Natto,41420200,0,0,0,12.68,0,57.0,5.4,0,0,0.0,19.4,0,0.19,8.8,4.89,0.16,55.02,2.43,6.21,1.591,11.0,217,0.667,8.6,115,174,729,7,3.03,0,0.0,0.13,13.0,0.01,23.1,natto,227.32,34.1,22.3,43.6,8.53,2.38,95.46,3.783,53.6,23.58,57.9,0,0,False,False,1,Unprocessed,Other,Other,140,103,53.6,227.32,19.4,12.68,11.0,5.4,4.89,7,0,13.0,23.1,217,8.6,53.6,57.9,34.1,22.3,43.6
Vermicelli,"Vermicelli, made from soybeans",41425010,0,8,0,31.42,0,64.2,1.5,0,0,0.0,0.04,0,0.0,10.3,6.66,0.0,66.31,0.005,0.016,0.005,0.04,22,0.664,0.52,1,6,0,3,1.62,1,0.0,0.0,0.0,0.2,1.4,"vermicelli, made from soybeans",126.2,0.1,99.6,0.3,0.03,1.19,17.43,0.412,30.7,24.33,35.3,0,1,False,False,1,Unprocessed,Other,Other,5780,4322,30.7,126.2,0.04,31.42,0.04,1.5,6.66,3,1,0.0,1.4,22,0.52,30.7,35.3,0.1,99.6,0.3
Frozen dessert,"Frozen dessert, non-dairy",41480020,0,0,0,18.78,0,6.9,0.1,0,0,0.13,0.79,58,0.05,0.7,18.27,0.007,70.94,0.823,0.426,7.1,8.94,125,0.048,0.26,6,14,61,46,0.09,58,0.22,0.007,0.0,1.37,0.7,"frozen dessert, non-dairy",158.74,2.0,47.3,50.7,0.5,0.06,78.75,0.164,27.8,17.51,31.3,0,0,False,False,1,Unprocessed,Other,Other,6699,6388,27.8,158.74,0.79,18.78,8.94,0.1,18.27,46,58,0.0,0.7,125,0.26,27.8,31.3,2.0,47.3,50.7
Vegetarian,"Vegetarian, fillet",41812600,0,0,0,9.0,0,82.0,6.1,0,0,12.0,23.0,0,0.9,1.0,0.8,1.1,45.0,4.376,9.332,2.849,18.0,95,0.925,2.0,23,450,600,490,1.4,0,4.2,1.5,0.0,3.45,0.0,"vegetarian, fillet",290.0,31.7,12.4,55.9,7.93,2.1,32.76,0.69,41.9,14.45,50.0,0,0,False,False,1,Unprocessed,Other,Other,487,372,41.9,290.0,23.0,9.0,18.0,6.1,0.8,490,0,0.0,0.0,95,2.0,41.9,50.0,31.7,12.4,55.9
Vegetarian stroganoff,Vegetarian stroganoff,41812850,0,9,0,11.56,14,17.0,2.6,2,0,1.898,7.54,25,0.15,11.7,1.79,1.07,68.81,2.97,2.726,3.245,10.3,80,0.121,1.23,28,115,200,457,0.7,26,0.83,0.146,2.3,0.58,9.9,vegetarian stroganoff,169.1,17.8,27.3,54.8,4.46,1.54,47.31,0.727,34.2,20.22,37.9,0,0,False,False,1,Unprocessed,Other,Other,3137,2643,34.2,169.1,7.54,11.56,10.3,2.6,1.79,457,26,2.3,9.9,80,1.23,34.2,37.9,17.8,27.3,54.8
Almonds,"Almonds, unroasted",42101000,0,1,0,21.55,0,52.1,12.5,1,0,3.618,21.15,0,1.138,4.1,4.35,0.205,4.41,31.551,12.329,3.802,49.93,269,1.031,3.71,270,481,733,1,3.12,0,0.0,0.137,0.0,25.63,0.0,"almonds, unroasted",620.17,13.6,13.9,72.5,3.41,2.02,43.38,0.598,60.3,9.72,66.4,0,1,False,False,3,Processed,Other,Other,70,23,60.3,620.17,21.15,21.55,49.93,12.5,4.35,1,0,0.0,0.0,269,3.71,60.3,66.4,13.6,13.9,72.5
Almonds,"Almonds, salted",42101110,0,1,0,20.18,0,50.0,10.5,1,0,3.493,20.13,0,1.15,1.9,4.67,0.074,2.32,33.01,13.665,4.336,53.43,258,1.055,3.59,268,452,685,386,3.18,0,0.0,0.131,0.0,23.3,3.5,"almonds, salted",642.11,12.5,12.6,74.9,3.13,1.64,40.18,0.559,56.5,8.8,61.3,0,1,False,False,2,Minimally processed,Other,Other,111,64,56.5,642.11,20.13,20.18,53.43,10.5,4.67,386,0,0.0,3.5,258,3.59,56.5,61.3,12.5,12.6,74.9
Almonds,"Almonds, lightly salted",42101120,0,1,0,20.28,0,50.3,10.5,1,0,3.51,20.23,0,1.155,1.9,4.69,0.074,2.33,33.174,13.733,4.358,53.7,259,1.061,3.6,269,455,688,195,3.2,0,0.0,0.131,0.0,23.42,3.5,"almonds, lightly salted",645.34,12.5,12.6,74.9,3.13,1.63,40.13,0.558,57.4,8.89,63.4,0,1,False,False,2,Minimally processed,Other,Other,106,36,57.4,645.34,20.23,20.28,53.7,10.5,4.69,195,0,0.0,3.5,259,3.6,57.4,63.4,12.5,12.6,74.9
Almonds,"Almonds, unsalted",42101130,0,1,0,20.38,0,50.5,10.6,1,0,3.528,20.33,0,1.161,1.9,4.71,0.075,2.34,33.34,13.802,4.38,53.96,260,1.066,3.62,271,457,692,3,3.21,0,0.0,0.132,0.0,23.54,3.5,"almonds, unsalted",648.48,12.5,12.6,74.9,3.14,1.63,40.09,0.558,58.4,9.01,65.4,0,1,False,False,2,Minimally processed,Other,Other,91,28,58.4,648.48,20.33,20.38,53.96,10.6,4.71,3,0,0.0,3.5,260,3.62,58.4,65.4,12.5,12.6,74.9
Almonds,"Almonds, flavored",42101300,0,1,0,20.12,0,49.9,10.4,1,0,3.483,20.07,0,1.146,1.9,4.65,0.074,2.31,32.912,13.625,4.323,53.27,257,1.052,3.58,267,451,683,500,3.17,0,0.0,0.13,0.0,23.23,3.5,"almonds, flavored",640.19,12.5,12.6,74.9,3.14,1.62,40.14,0.559,55.9,8.73,60.1,0,1,False,False,1,Unprocessed,Other,Other,117,80,55.9,640.19,20.07,20.12,53.27,10.4,4.65,500,0,0.0,3.5,257,3.58,55.9,60.1,12.5,12.6,74.9
Brazil nuts,Brazil nuts,42102000,0,0,0,11.74,0,28.8,7.5,0,0,0.295,14.32,0,0.035,1917.0,2.33,0.617,3.42,23.879,24.399,16.134,67.1,160,1.743,2.43,376,725,659,3,4.06,0,0.0,0.101,0.7,5.65,0.0,brazil nuts,708.14,8.1,6.6,85.3,2.02,1.06,22.59,0.343,53.6,7.57,57.8,0,0,False,False,1,Unprocessed,Other,Other,140,109,53.6,708.14,14.32,11.74,67.1,7.5,2.33,3,0,0.7,0.0,160,2.43,53.6,57.8,8.1,6.6,85.3
Cashews,"Cashews, unroasted",42104050,0,0,0,32.69,0,61.0,3.0,23,0,1.4,15.31,0,0.2,11.7,5.01,0.2,1.7,27.317,7.836,9.157,46.35,45,2.22,6.0,260,490,565,16,5.6,0,0.0,0.256,0.0,0.92,34.7,"cashews, unroasted",609.15,10.1,21.5,68.5,2.51,0.49,7.39,0.985,48.9,8.03,47.1,0,0,False,False,3,Processed,Other,Other,241,508,48.9,609.15,15.31,32.69,46.35,3.0,5.01,16,0,0.0,34.7,45,6.0,48.9,47.1,10.1,21.5,68.5
Cashews,"Cashews, salted",42104100,0,0,0,31.4,0,58.6,2.9,22,0,1.345,14.7,0,0.192,11.2,4.81,0.192,1.64,27.479,8.749,9.201,47.48,44,2.132,5.77,250,471,543,399,5.38,0,0.0,0.246,0.0,1.23,36.8,"cashews, salted",611.72,9.6,20.5,69.9,2.4,0.47,7.19,0.943,46.5,7.6,42.5,0,0,False,False,2,Minimally processed,Other,Other,312,1070,46.5,611.72,14.7,31.4,47.48,2.9,4.81,399,0,0.0,36.8,44,5.77,46.5,42.5,9.6,20.5,69.9
Cashews,"Cashews, lightly salted",42104105,0,0,0,31.55,0,58.9,2.9,22,0,1.351,14.78,0,0.193,11.3,4.84,0.193,1.64,27.616,8.793,9.246,47.72,44,2.143,5.8,251,473,545,208,5.4,0,0.0,0.247,0.0,1.24,37.0,"cashews, lightly salted",614.8,9.6,20.5,69.9,2.4,0.47,7.16,0.943,47.4,7.71,44.6,0,0,False,False,2,Minimally processed,Other,Other,289,737,47.4,614.8,14.78,31.55,47.72,2.9,4.84,208,0,0.0,37.0,44,5.8,47.4,44.6,9.6,20.5,69.9
Cashews,"Cashews, unsalted",42104110,0,0,0,31.71,0,59.2,2.9,22,0,1.358,14.85,0,0.194,11.3,4.86,0.194,1.65,27.754,8.837,9.293,47.96,44,2.153,5.82,252,475,548,16,5.43,0,0.0,0.248,0.0,1.24,37.2,"cashews, unsalted",617.88,9.6,20.5,69.9,2.4,0.47,7.12,0.942,48.3,7.82,46.6,0,0,False,False,2,Minimally processed,Other,Other,259,549,48.3,617.88,14.85,31.71,47.96,2.9,4.86,16,0,0.0,37.2,44,5.82,48.3,46.6,9.6,20.5,69.9
Chestnuts,Chestnuts,42105000,0,14,0,52.96,0,1.5,5.1,13,0,1.342,3.17,0,0.175,1.2,10.6,0.243,40.48,0.759,0.869,0.414,2.2,29,0.507,0.91,33,107,592,2,0.57,1,0.0,0.497,26.0,0.5,7.8,chestnuts,244.32,5.2,86.7,8.1,1.3,2.09,11.87,0.372,41.3,16.9,47.6,0,0,False,False,1,Unprocessed,Other,Other,533,488,41.3,244.32,3.17,52.96,2.2,5.1,10.6,2,1,26.0,7.8,29,0.91,41.3,47.6,5.2,86.7,8.1
Hazelnuts,Hazelnuts,42107000,3,11,0,16.7,0,45.6,9.7,92,0,1.8,14.95,0,0.113,2.4,4.34,0.643,5.31,45.652,7.92,4.464,60.75,114,1.725,4.7,163,290,680,0,2.45,1,0.0,0.563,6.3,15.03,14.2,hazelnuts,673.35,8.9,9.9,81.2,2.22,1.44,16.93,0.698,52.1,7.74,61.7,0,0,False,False,1,Unprocessed,Other,Other,170,60,52.1,673.35,14.95,16.7,60.75,9.7,4.34,0,1,6.3,14.2,114,4.7,52.1,61.7,8.9,9.9,81.2
Mixed nuts,"Mixed nuts, unroasted",42110050,0,16,1,23.17,0,52.3,7.6,102,0,2.015,16.96,0,0.49,147.1,4.66,0.305,2.64,29.667,14.999,7.024,54.13,139,1.604,4.3,239,459,639,7,4.03,1,0.0,0.31,0.9,9.68,13.4,"mixed nuts, unroasted",647.69,10.5,14.3,75.2,2.62,1.17,21.46,0.664,52.5,8.11,57.9,0,0,False,False,3,Processed,Other,Other,160,103,52.5,647.69,16.96,23.17,54.13,7.6,4.66,7,1,0.9,13.4,139,4.3,52.5,57.9,10.5,14.3,75.2
Mixed nuts,"Mixed nuts, with peanuts, salted",42110100,0,7,0,21.04,0,55.4,7.6,48,0,7.785,19.59,0,0.325,73.8,4.53,0.216,2.11,28.317,13.561,7.598,53.62,94,0.96,2.78,197,389,603,313,3.22,1,0.0,0.368,0.4,7.43,11.6,"mixed nuts, with peanuts, salted",645.1,12.1,13.0,74.8,3.04,1.18,14.57,0.431,48.3,7.49,53.8,0,0,False,False,2,Minimally processed,Other,Other,259,208,48.3,645.1,19.59,21.04,53.62,7.6,4.53,313,1,0.4,11.6,94,2.78,48.3,53.8,12.1,13.0,74.8
Mixed nuts,"Mixed nuts, with peanuts, lightly salted",42110110,0,8,0,21.12,0,55.7,7.6,48,0,7.816,19.66,0,0.326,74.1,4.55,0.217,2.11,28.43,13.615,7.629,53.84,94,0.964,2.8,198,391,606,160,3.23,1,0.0,0.37,0.4,7.46,11.6,"mixed nuts, with peanuts, lightly salted",647.68,12.1,13.0,74.8,3.04,1.17,14.51,0.432,49.0,7.57,55.4,0,0,False,False,2,Minimally processed,Other,Other,236,169,49.0,647.68,19.66,21.12,53.84,7.6,4.55,160,1,0.4,11.6,94,2.8,49.0,55.4,12.1,13.0,74.8
Mixed nuts,"Mixed nuts, with peanuts, unsalted",42110120,0,8,0,21.21,0,55.9,7.6,48,0,7.847,19.74,0,0.327,74.4,4.57,0.218,2.12,28.543,13.669,7.659,54.05,94,0.967,2.81,199,392,608,6,3.24,1,0.0,0.371,0.4,7.49,11.7,"mixed nuts, with peanuts, unsalted",650.25,12.1,13.0,74.8,3.04,1.17,14.46,0.432,49.7,7.64,57.1,0,0,False,False,2,Minimally processed,Other,Other,213,130,49.7,650.25,19.74,21.21,54.05,7.6,4.57,6,1,0.4,11.7,94,2.81,49.7,57.1,12.1,13.0,74.8
Mixed nuts,"Mixed nuts, without peanuts, salted",42110150,0,15,1,22.28,0,50.3,7.3,98,0,1.938,16.31,0,0.471,141.5,4.48,0.294,2.54,29.798,15.673,7.169,55.09,134,1.542,4.14,229,441,615,320,3.87,1,0.0,0.298,0.9,9.66,16.5,"mixed nuts, without peanuts, salted",650.17,10.0,13.7,76.3,2.51,1.12,20.61,0.637,50.2,7.72,53.6,0,0,False,False,2,Minimally processed,Other,Other,205,219,50.2,650.17,16.31,22.28,55.09,7.3,4.48,320,1,0.9,16.5,134,4.14,50.2,53.6,10.0,13.7,76.3
Mixed nuts,"Mixed nuts, without peanuts, unsalted",42110160,0,15,1,22.46,0,50.7,7.4,99,0,1.953,16.44,0,0.475,142.6,4.52,0.296,2.56,30.041,15.801,7.228,55.54,135,1.555,4.17,231,445,620,7,3.9,1,0.0,0.301,0.9,9.74,16.6,"mixed nuts, without peanuts, unsalted",655.46,10.0,13.7,76.3,2.51,1.13,20.6,0.636,51.8,7.9,57.1,0,0,False,False,2,Minimally processed,Other,Other,174,130,51.8,655.46,16.44,22.46,55.54,7.4,4.52,7,1,0.9,16.6,135,4.17,51.8,57.1,10.0,13.7,76.3
Peanuts,"Peanuts, boiled",42111030,0,0,0,21.26,0,32.7,8.8,0,0,5.259,13.5,0,0.063,4.4,2.47,0.259,41.78,10.921,6.956,3.055,22.01,55,0.499,1.01,102,198,180,751,1.83,0,0.0,0.152,0.0,4.1,0.0,"peanuts, boiled",337.13,16.0,25.2,58.8,4.0,2.61,16.31,0.3,39.5,11.72,49.5,0,0,False,False,2,Minimally processed,Other,Other,682,394,39.5,337.13,13.5,21.26,22.01,8.8,2.47,751,0,0.0,0.0,55,1.01,39.5,49.5,16.0,25.2,58.8
Peanuts,"Peanuts, unroasted",42111040,0,0,0,16.13,0,52.5,8.5,0,0,12.066,25.8,0,0.135,7.2,4.72,0.64,6.5,24.426,15.558,6.279,49.24,92,1.144,4.58,168,376,705,18,3.27,0,0.0,0.348,0.0,8.33,0.0,"peanuts, unroasted",610.88,16.9,10.6,72.5,4.22,1.39,15.06,0.75,51.6,8.45,60.3,0,0,False,False,3,Processed,Other,Other,180,76,51.6,610.88,25.8,16.13,49.24,8.5,4.72,18,0,0.0,0.0,92,4.58,51.6,60.3,16.9,10.6,72.5
Peanuts,"Peanuts, roasted, salted",42111100,0,0,0,15.26,0,55.3,9.4,0,0,13.825,28.03,0,0.089,3.3,4.18,0.085,1.45,25.995,15.303,8.655,52.5,61,0.533,1.52,176,397,726,320,3.28,0,0.0,0.461,0.8,6.94,0.0,"peanuts, roasted, salted",645.66,17.4,9.5,73.2,4.34,1.46,9.45,0.235,49.3,7.64,58.6,0,0,False,False,2,Minimally processed,Other,Other,222,91,49.3,645.66,28.03,15.26,52.5,9.4,4.18,320,0,0.8,0.0,61,1.52,49.3,58.6,17.4,9.5,73.2
