description,main_group,anomaly_type,anomaly_decision_score,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium,calcium,vitamin_c
"Sunflower seeds, flavored","Legumes, Nuts & Seeds",Extreme Macro Imbalance,-0.00794885475294782,605.52,18.45,25.92,47.56,10.6,5.55,612,68,1.3
"Sunflower seeds, NFS","Legumes, Nuts & Seeds",Extreme Macro Imbalance,-0.0240855117319001,621.8,19.33,24.07,49.8,11.1,2.73,3,70,1.4
Sesame seeds,"Legumes, Nuts & Seeds",Extreme Macro Imbalance,-0.06749101249948808,679.61,20.45,11.73,61.21,11.6,0.48,47,60,0.0
Tahini,"Legumes, Nuts & Seeds",Extreme Macro Imbalance,-0.044068931461165306,636.6,17.0,21.19,53.76,9.3,0.49,115,426,0.0
Flax seeds,"Legumes, Nuts & Seeds",Extreme Macro Imbalance,-0.0509550611945202,568.12,18.29,28.88,42.16,27.3,1.55,30,255,0.6
Mixed seeds,Other,Extreme Macro Imbalance,-0.017877479662353757,621.25,21.96,21.73,49.61,10.0,2.37,7,66,1.5
Chia seeds,"Legumes, Nuts & Seeds",Extreme Macro Imbalance,-0.0509550611945202,568.12,18.29,28.88,42.16,27.3,1.55,30,255,0.6
"Cookie, sugar wafer, sugar free",Sweets & Desserts,Extreme Macro Imbalance,-0.008018567731811976,536.45,3.57,66.26,28.57,14.3,0.0,71,0,0.0
Cereal or granola bar (General Mills Fiber One Chewy Bar),Grains & Bakery,Extreme Macro Imbalance,-0.01332729555459422,389.28,5.0,69.82,10.0,22.5,25.0,237,250,1.2
"Cereal or granola bar, high fiber, coated with non-chocolate yogurt coating",Dairy & Eggs,Extreme Macro Imbalance,-0.01332729555459422,389.28,5.0,69.82,10.0,22.5,25.0,237,250,1.2
Nutrition bar (Balance Original Bar),Sweets & Desserts,Extreme Macro Imbalance,-0.003785380108379144,414.92,28.0,48.73,12.0,3.1,34.89,253,543,11.2
Nutrition bar (Clif Bar),Sweets & Desserts,Extreme Macro Imbalance,-0.04140424851615654,373.52,14.71,65.44,5.88,7.4,31.62,195,368,88.2
Nutrition bar (Clif Kids Organic Zbar),Sweets & Desserts,Extreme Macro Imbalance,-0.020693950991438226,408.56,5.55,74.72,9.72,8.3,30.56,375,444,39.1
Nutrition bar (PowerBar),Sweets & Desserts,Extreme Macro Imbalance,-0.07623429429966655,363.11,14.15,69.63,3.11,5.7,30.07,308,504,92.3
Nutrition bar (Slim Fast Original Meal Bar),Sweets & Desserts,Extreme Macro Imbalance,-0.07746778089149697,385.88,16.19,60.21,8.92,5.1,25.0,253,668,96.6
Nutrition bar (Snickers Marathon Protein Bar),Sweets & Desserts,Extreme Macro Imbalance,-0.09058521020540433,414.5,25.0,50.5,12.5,12.5,28.75,238,625,75.0
Nutrition bar (South Beach Living Meal Bar),Sweets & Desserts,Extreme Macro Imbalance,-0.07746778089149697,385.88,16.19,60.21,8.92,5.1,25.0,253,668,96.6
Nutrition bar (South Beach Living High Protein Bar),Sweets & Desserts,Extreme Macro Imbalance,-0.008438479272214527,411.49,30.34,38.4,15.17,7.3,15.17,436,322,27.9
Nutrition bar (Zone Perfect Classic Crunch),Dairy & Eggs,Extreme Macro Imbalance,-0.03316917605778502,426.0,30.0,45.0,14.0,2.0,27.0,444,200,120.0
"Nutrition bar or meal replacement bar, NFS",Sweets & Desserts,Extreme Macro Imbalance,-0.03316917605778502,426.0,30.0,45.0,14.0,2.0,27.0,444,200,120.0
"Cereal bar with fruit filling, baby food",Infant Nutrition,Extreme Macro Imbalance,-0.015169805812651593,343.94,5.43,68.63,5.3,1.7,42.0,157,1053,2.4
"Cereal, oat, NFS",Grains & Bakery,Extreme Macro Imbalance,-0.011448456215540026,401.8,12.4,73.2,6.6,10.1,4.5,497,357,21.4
Cereal (Kellogg's All-Bran),Grains & Bakery,Extreme Macro Imbalance,-0.06198191013914511,393.62,13.14,74.24,4.9,29.3,15.69,258,389,20.0
Cereal (Kellogg's Apple Jacks),Fruits,Extreme Macro Imbalance,-0.01313510183365263,403.8,5.1,88.2,3.4,9.3,43.7,466,12,54.0
Cereal (General Mills Cheerios Banana Nut),Fruits,Extreme Macro Imbalance,-0.019853642465484822,396.76,5.5,84.69,4.0,6.1,33.09,533,357,53.6
Cereal (General Mills Cheerios),Grains & Bakery,Extreme Macro Imbalance,-0.011448456215540026,401.8,12.4,73.2,6.6,10.1,4.5,497,357,21.4
Cereal (General Mills Cheerios Chocolate),Grains & Bakery,Extreme Macro Imbalance,-0.028094737086114874,403.01,5.8,83.5,5.09,6.2,34.09,556,370,55.6
Cereal (General Mills Cinnamon Toast Crunch),Grains & Bakery,Extreme Macro Imbalance,-0.006017241541203533,426.01,5.45,77.99,10.25,6.8,30.3,567,444,19.4
Cereal (General Mills 25% Less Sugar Cinnamon Toast Crunch),Grains & Bakery,Extreme Macro Imbalance,-0.06112761400409927,422.13,5.09,78.19,9.89,11.2,21.39,565,714,17.1
"Cereal, corn puffs",Grains & Bakery,Extreme Macro Imbalance,-0.036866665012519895,393.18,7.69,82.82,3.46,8.8,9.76,596,570,25.4
Cereal (General Mills Fiber One),Grains & Bakery,Extreme Macro Imbalance,-0.06035663729708962,384.17,6.59,84.3,2.29,46.2,1.0,356,333,20.0
Cereal (General Mills Fiber One Honey Clusters),Grains & Bakery,Extreme Macro Imbalance,-0.010061844841839362,389.67,7.69,83.9,2.59,19.0,17.79,394,192,11.5
Cereal (General Mills Fiber One Raisin Bran Clusters),Fruits,Extreme Macro Imbalance,-0.009213310914136352,379.41,6.3,83.4,2.29,17.9,25.6,337,182,10.9
Cereal (Kellogg's All-Bran Complete Wheat Flakes),Grains & Bakery,Extreme Macro Imbalance,-0.08163695357845502,389.7,10.2,81.6,2.5,17.3,18.8,718,39,207.0
Cereal (Kellogg's Froot Loops),Grains & Bakery,Extreme Macro Imbalance,-0.012328842345068702,403.8,5.3,88.0,3.4,9.3,34.5,469,10,52.0
Cereal (General Mills Cheerios Fruity),Grains & Bakery,Extreme Macro Imbalance,-0.018167879022160327,401.27,5.8,84.19,4.59,5.9,32.2,501,370,55.6
Cereal (General Mills Cheerios Honey Nut),Grains & Bakery,Extreme Macro Imbalance,-0.01047611988179431,399.16,8.85,79.69,5.0,7.1,32.89,566,425,21.4
Cereal (Kashi Heart to Heart Honey Toasted Oat),Meat & Poultry,Extreme Macro Imbalance,-0.03678978472227601,405.32,11.39,78.69,5.0,13.7,15.5,267,41,91.0
Cereal (General Mills Kix),Grains & Bakery,Extreme Macro Imbalance,-0.036866665012519895,393.18,7.69,82.82,3.46,8.8,9.76,596,570,25.4
Cereal (General Mills Honey Kix),Grains & Bakery,Extreme Macro Imbalance,-0.019376191187635006,392.7,6.4,83.0,3.9,8.3,18.2,582,455,27.3
Cereal (Kellogg's Krave),Grains & Bakery,Extreme Macro Imbalance,-0.03189721361724318,415.81,6.19,82.08,6.97,10.1,33.23,554,17,64.8
Cereal (General Mills Lucky Charms),Grains & Bakery,Extreme Macro Imbalance,-0.01127250661462742,399.42,7.67,80.89,5.02,5.0,36.13,648,434,26.6
Cereal (Malt-O-Meal Honey Nut Toasty O's),Grains & Bakery,Extreme Macro Imbalance,-0.01047611988179431,399.16,8.85,79.69,5.0,7.1,32.89,566,425,21.4
Cereal (Malt-O-Meal Toasted Oat Cereal),Grains & Bakery,Extreme Macro Imbalance,-0.011448456215540026,401.8,12.4,73.2,6.6,10.1,4.5,497,357,21.4
Cereal (General Mills Cheerios Multigrain),Grains & Bakery,Extreme Macro Imbalance,-0.007477244332217636,395.61,8.3,81.4,4.09,8.7,21.2,401,345,20.7
Cereal (Barbara's Puffins),Grains & Bakery,Extreme Macro Imbalance,-0.047742618582091945,398.94,7.41,84.0,3.7,18.5,18.52,704,70,55.6
Cereal (Kellogg's Special K Blueberry),Fruits,Extreme Macro Imbalance,-0.01633207048501628,386.3,6.9,86.3,1.5,8.6,26.7,481,18,70.0
Cereal (Kellogg's Special K Chocolatey Delight),Grains & Bakery,Extreme Macro Imbalance,-0.03264419080031389,416.5,6.5,81.2,7.3,10.6,29.9,582,18,68.0
Cereal (Kellogg's Special K Red Berries),Grains & Bakery,Extreme Macro Imbalance,-0.021538935027175077,385.17,6.3,87.09,1.29,8.5,29.7,619,24,68.0
Cereal (Kellogg's Special K Fruit & Yogurt),Dairy & Eggs,Extreme Macro Imbalance,-0.003850901666637707,395.7,7.1,85.3,2.9,8.1,32.1,452,27,66.0
Cereal (Kellogg's Special K Vanilla Almond),Grains & Bakery,Extreme Macro Imbalance,-0.029607993542293154,399.2,7.8,83.0,4.0,9.6,29.2,559,34,70.0
Cereal (Kellogg's Special K Cinnamon Pecan),Grains & Bakery,Extreme Macro Imbalance,-0.029069737510608706,408.8,7.5,81.2,6.0,10.3,24.0,650,30,70.0
"Cereal, toasted oat",Grains & Bakery,Extreme Macro Imbalance,-0.019441806446194643,394.92,10.71,75.96,5.36,10.7,3.57,571,357,21.4
Cereal (General Mills Chex Wheat),Grains & Bakery,Extreme Macro Imbalance,-0.0007815016550649645,384.2,9.8,82.2,1.8,12.2,10.3,570,213,12.8
"Barley cereal, baby food, dry, instant",Infant Nutrition,Extreme Macro Imbalance,-0.0005832661714310072,389.8,13.2,69.4,6.6,6.6,13.2,33,643,0.0
"Mixed cereal, baby food, dry, instant",Infant Nutrition,Extreme Macro Imbalance,-0.07037827222918902,399.42,6.66,78.21,6.66,6.7,26.66,33,800,58.3
"Oatmeal cereal, baby food, dry, instant",Infant Nutrition,Extreme Macro Imbalance,-0.011946941479958895,395.12,10.99,73.48,6.36,7.3,11.67,21,1160,0.0
"Rice cereal, baby food, dry, instant",Infant Nutrition,Extreme Macro Imbalance,-0.009048741618781109,378.87,6.65,83.14,2.19,1.3,4.85,32,860,2.4
"Rice cereal with apples, baby food, dry, instant",Infant Nutrition,Extreme Macro Imbalance,-0.01399935418130438,395.96,6.7,86.89,2.4,3.0,3.22,16,850,0.0
"Rice cereal with mixed fruits, baby food, dry, instant",Infant Nutrition,Extreme Macro Imbalance,-0.010456661701258585,388.5,6.6,88.5,0.9,2.6,1.35,2,38,250.0
"Mixed cereal with bananas, baby food, dry, instant",Infant Nutrition,Extreme Macro Imbalance,-0.021357759678810706,392.6,10.7,77.1,4.6,7.8,6.68,0,696,3.6
"Multigrain, whole grain cereal, baby food, dry, instant",Infant Nutrition,Extreme Macro Imbalance,-0.07037827222918902,406.95,6.67,80.06,6.67,6.7,26.67,33,800,58.3
"Oatmeal cereal with bananas, baby food, dry, instant",Infant Nutrition,Extreme Macro Imbalance,-0.0663934001722285,398.99,6.67,78.07,6.67,5.2,26.66,33,800,58.3
"Whole wheat cereal with apples, baby food, dry, instant",Infant Nutrition,Extreme Macro Imbalance,-0.05511452002021722,402.4,6.6,83.2,4.8,6.7,26.66,66,600,58.3
"Persimmon, dried",Fruits,Extreme Macro Imbalance,-0.04522538790214903,396.38,1.54,96.07,0.66,9.6,80.06,3,22,4.0
"Fruit bar, with added vitamin C, baby food, toddler",Infant Nutrition,Extreme Macro Imbalance,-0.06726142771727539,329.88,0.82,76.61,2.24,2.0,68.65,14,18,179.9
"Yogurt and fruit snack, baby food",Infant Nutrition,Extreme Macro Imbalance,-0.04458579423649667,380.44,14.29,71.82,4.0,2.3,57.14,286,457,57.1
"Potato sticks, flavored",Vegetables,High Calorie Trap,-0.012439051674627,544.14,6.63,52.77,34.06,3.4,0.22,1010,18,46.8
"Potato sticks, fry shaped",Vegetables,High Calorie Trap,-0.012439051674627,544.14,6.63,52.77,34.06,3.4,0.22,1010,18,46.8
Yeast,Other,Extreme Macro Imbalance,-0.0045858240184130095,395.13,40.44,41.22,7.61,26.9,0.0,51,30,0.3
"Vegetable mixture, dried",Vegetables,Extreme Macro Imbalance,-0.0748663387429318,340.02,17.37,47.79,8.82,18.7,19.81,360,234,177.8
"Oil or table fat, NFS",Condiments & Sauces,Extreme Macro Imbalance,-0.004806879554888899,787.94,0.29,0.18,87.34,0.0,0.02,332,11,0.0
Animal fat or drippings,Other,Extreme Macro Imbalance,-0.006399187207649204,838.54,2.23,0.0,92.18,0.0,0.0,604,5,0.0
Lard,Condiments & Sauces,Extreme Macro Imbalance,-0.03191920607300558,900.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0
"Shortening, NS as to vegetable or animal",Vegetables,Extreme Macro Imbalance,-0.03191920607300558,899.73,0.0,0.0,99.97,0.0,0.0,4,1,0.0
"Ghee, clarified butter",Dairy & Eggs,Nutrient Void,-0.029750309959481136,896.44,0.28,0.0,99.48,0.0,0.0,2,4,0.0
