description,food_cluster,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium
"Pretzels, soft, ready-to-eat, NFS",5,345.6,8.01,69.38,4.0,1.7,0.24,775
"Pretzels, soft, ready-to-eat, salted, buttered",5,345.6,8.01,69.38,4.0,1.7,0.24,775
"Pretzels, soft, ready-to-eat, unsalted, buttered",5,350.3,8.12,70.34,4.05,1.7,0.25,250
"Pretzels, soft, ready-to-eat, salted, no butter",5,340.1,8.09,70.06,3.06,1.7,0.25,783
"Pretzels, soft, ready-to-eat, unsalted, no butter",5,344.9,8.2,71.04,3.1,1.7,0.25,252
"Pretzels, soft, ready-to-eat, cinnamon sugar coated",1,376.1,6.22,73.99,6.14,2.1,19.74,248
"Pretzels, soft, ready-to-eat, coated or flavored",5,365.4,7.89,66.02,7.75,1.6,0.23,896
"Pretzels, soft, ready-to-eat, topped with meat",5,348.7,11.48,53.36,9.93,1.3,0.49,438
"Pretzels, soft, ready-to-eat, topped with cheese",5,338.5,10.22,62.35,5.36,1.5,0.45,310
"Pretzels, soft, from frozen, NFS",5,345.6,8.01,69.38,4.0,1.7,0.24,775
"Pretzels, soft, from frozen, salted",5,340.1,8.09,70.06,3.06,1.7,0.25,783
"Pretzels, soft, from frozen, unsalted",5,344.9,8.2,71.04,3.1,1.7,0.25,252
"Pretzels, soft, from frozen, cinnamon sugar coated",1,376.1,6.22,73.99,6.14,2.1,19.74,248
"Pretzels, soft, from frozen, coated or flavored",5,365.4,7.89,66.02,7.75,1.6,0.23,896
"Pretzels, soft, from frozen, topped with meat",5,348.7,11.48,53.36,9.93,1.3,0.49,438
"Pretzels, soft, from frozen, topped with cheese",5,338.5,10.22,62.35,5.36,1.5,0.45,310
"Pretzels, soft, filled with cheese",5,338.5,10.22,62.35,5.36,1.5,0.45,310
"Pretzels, soft, from school lunch",5,345.6,8.55,70.73,3.16,3.7,0.26,240
"Pretzels, soft, multigrain",5,343.2,8.49,70.26,3.13,3.6,0.26,495
"Pretzels, soft, gluten free",5,296.9,4.03,57.27,5.74,4.0,3.77,839
"Pretzels, soft, gluten free, cinnamon sugar coated",5,340.7,3.1,63.75,8.14,3.8,22.41,631
"Pretzels, soft, gluten free, coated or flavored",5,326.3,4.1,54.15,10.37,3.7,3.56,808
Multigrain chips (Sun Chips),4,490.8,7.95,67.26,21.11,8.8,7.2,423
"Snack mix, plain (Chex Mix)",5,428.1,8.83,75.69,10.0,5.8,7.35,696
Bagel chips,5,451.1,12.34,66.36,15.14,4.1,6.02,233
Cracker chips,4,490.8,7.95,67.26,21.11,8.8,7.2,423
"Pancakes, NFS",5,278.2,7.43,35.31,11.92,2.1,7.07,512
"Pancakes, plain, from frozen",5,233.4,5.23,37.75,6.83,1.0,8.32,461
"Pancakes, plain, reduced fat, from fozen",5,261.0,7.6,36.09,9.58,2.2,7.23,523
"Pancakes, with fruit, from frozen",5,224.5,4.99,36.47,6.52,1.1,8.33,438
"Pancakes, with chocolate, from frozen",5,248.4,5.35,38.83,7.97,1.1,10.48,442
"Pancakes, whole grain, from frozen",5,237.1,5.54,38.55,6.75,2.3,8.08,447
"Pancakes, whole grain, reduced fat, from frozen",5,237.1,5.54,38.55,6.75,2.3,8.08,447
"Pancakes, gluten free, from frozen",5,215.5,3.31,40.32,4.55,1.5,4.06,331
"Pancakes, plain, from fast food / restaurant",5,303.2,7.18,34.12,15.33,2.1,6.83,548
"Pancakes, with fruit, from fast food / restaurant",5,251.6,5.73,29.81,12.16,2.3,7.51,429
"Pancakes, with chocolate, from fast food / restaurant",5,356.9,7.48,40.01,18.55,2.4,15.68,473
"Pancakes, whole grain, from fast food / restaurant",5,298.3,7.62,31.74,15.65,3.1,6.67,755
"Pancakes, whole grain and nuts, from fast food / restaurant",5,359.3,7.95,30.1,23.01,4.0,6.46,674
"Pancakes, from school, NFS",5,245.9,6.26,40.43,6.57,5.2,7.53,415
"Pancakes, plain",5,278.2,7.43,35.31,11.92,2.1,7.07,512
"Pancakes, plain, reduced fat",5,261.0,7.6,36.09,9.58,2.2,7.23,523
"Pancakes, with fruit",5,230.8,5.88,30.62,9.42,2.4,7.71,398
"Pancakes, pumpkin",5,238.9,6.39,30.94,9.95,2.3,6.53,426
"Pancakes, with chocolate",5,337.7,7.7,41.16,15.81,2.4,16.13,441
"Pancakes, buckwheat",5,273.3,8.04,31.74,12.69,3.5,5.56,339
"Pancakes, cornmeal",5,200.3,4.77,32.0,5.91,1.3,3.76,653
"Pancakes, whole grain",5,272.2,7.89,32.88,12.13,3.2,6.91,726
"Pancakes, whole grain, reduced fat",5,254.4,8.07,33.63,9.73,3.3,7.07,742
"Pancakes, gluten free",5,215.5,3.31,40.32,4.55,1.5,4.06,331
"Waffle, NFS",5,308.6,7.42,48.39,9.49,2.6,4.41,530
"Waffle, plain, from frozen",5,308.6,7.42,48.39,9.49,2.6,4.41,530
"Waffle, plain, reduced fat, from frozen",5,284.8,9.42,46.2,6.92,1.5,3.7,507
"Waffle, fruit, from frozen",5,296.0,7.07,46.58,9.05,2.6,4.61,504
"Waffle, chocolate, from frozen",5,320.0,7.43,48.94,10.5,2.6,6.76,507
"Waffle, whole grain, from frozen",5,289.4,6.78,46.7,8.39,4.1,4.08,529
"Waffle, whole grain, reduced fat, from frozen",5,257.3,7.14,49.16,3.57,4.3,4.29,557
"Waffle, whole grain, fruit, from frozen",5,278.3,6.48,45.06,8.02,4.0,4.28,504
"Waffle, gluten free, from frozen",5,262.6,2.72,43.05,8.84,1.4,1.73,505
"Waffle, plain, from fast food / restaurant",5,424.1,8.19,38.91,26.19,2.4,7.79,624
"Waffle, chocolate, from fast food / restaurant",5,477.2,8.62,46.08,28.71,2.7,18.06,545
"Waffle, fruit, from fast food / restaurant",5,352.8,6.62,34.45,20.95,2.7,8.68,495
"Waffle, whole grain, from fast food / restaurant",5,420.1,8.67,36.13,26.77,3.5,7.59,859
"Waffle, from school, NFS",5,257.3,7.14,49.16,3.57,4.3,4.29,557
"Waffle, plain",5,368.6,8.73,41.48,18.64,2.5,8.31,602
"Waffle, fruit",5,305.8,6.96,36.23,14.78,2.8,9.13,471
"Waffle, chocolate",5,433.9,9.1,48.63,22.55,2.9,19.06,521
"Waffle, cinnamon",5,368.9,8.73,41.65,18.6,2.7,8.3,600
"Waffle, cornmeal",5,264.9,6.83,32.97,11.74,1.2,5.7,451
"Waffle, whole grain",5,362.6,9.26,38.59,19.02,3.8,8.11,852
"Waffle, gluten free",5,262.6,2.72,43.05,8.84,1.4,1.73,505
"Waffle, plain, reduced fat",5,337.9,9.03,42.88,14.47,2.6,8.59,622
"Waffle, whole grain, reduced fat",5,330.6,9.58,39.93,14.73,3.9,8.39,881
"French toast, NFS",5,271.0,10.42,32.24,11.15,1.2,10.14,323
"French toast, plain, from frozen",0,181.9,7.27,29.86,3.71,1.1,9.04,258
"French toast, whole grain, from frozen",0,180.1,8.2,28.07,3.89,2.6,8.98,251
"French toast, gluten free, from frozen",0,172.7,4.84,28.24,4.49,2.0,8.18,244
"French toast, plain, from fast food / restaurant",5,308.9,9.89,35.64,14.09,1.3,10.1,383
"French toast, whole grain, from fast food / restaurant",5,306.7,11.03,33.45,14.31,3.1,10.03,375
"French toast, from school, NFS",0,160.6,9.18,22.61,3.71,2.9,3.5,257
"French toast, plain",5,271.0,10.42,32.24,11.15,1.2,10.14,323
"French toast, plain, reduced fat",5,236.8,10.95,33.91,6.37,1.2,10.67,319
"French toast, whole grain",5,269.2,11.41,30.35,11.35,2.7,10.07,315
"French toast, whole grain, reduced fat",5,234.8,11.99,31.92,6.57,2.8,10.6,312
"French toast, gluten free",5,261.4,7.86,30.53,11.98,2.2,9.24,308
"French toast sticks, NFS",5,274.7,7.53,40.62,9.12,1.3,12.87,536
"French toast sticks, plain, from frozen",5,274.7,7.53,40.62,9.12,1.3,12.87,536
"French toast sticks, plain, from fast food / restaurant",5,410.0,7.06,48.48,20.87,1.6,11.64,471
"French toast sticks, from school, NFS",0,160.6,9.18,22.61,3.71,2.9,3.5,257
"French toast sticks, plain",5,348.5,6.0,41.21,17.74,1.4,9.89,400
"French toast sticks, whole grain",5,269.2,11.41,30.35,11.35,2.7,10.07,315
"Fried bread, Puerto Rican style",1,261.5,5.03,41.73,8.27,0.5,31.28,276
"Crepe, NFS",5,220.4,8.78,21.73,10.93,0.6,4.55,283
"Crepe, plain",5,220.4,8.78,21.73,10.93,0.6,4.55,283
Chinese pancake,0,201.1,4.05,45.38,0.38,0.7,0.07,5
"Dumpling, plain",0,123.2,3.31,20.26,3.21,0.7,1.23,428
Cake made with glutinous rice,1,282.5,2.22,53.66,6.55,1.2,31.12,35
Cake or pancake made with rice flour and/or dried beans,0,128.5,6.36,24.98,0.35,5.8,1.85,252
"Dosa (Indian), plain",5,207.4,5.7,37.04,4.05,1.8,0.3,309
Cake made with glutinous rice and dried beans,5,185.6,8.29,37.34,0.34,3.2,1.58,972
Funnel cake with sugar,5,349.4,7.7,43.14,16.23,1.0,15.9,280
Funnel cake with sugar and fruit,1,381.6,5.72,54.92,15.45,0.9,21.28,213
"Pasta, vegetable, cooked",0,125.3,4.52,26.55,0.11,4.3,1.15,99
"Noodles, cooked",0,136.6,4.51,25.01,2.06,1.2,0.4,236
"Noodles, whole grain, cooked",0,158.8,5.96,29.91,1.7,3.9,0.75,210
"Noodles, vegetable, cooked",0,130.5,5.01,24.1,1.56,2.3,0.71,243
"Noodles, chow mein",5,534.4,10.33,51.9,31.72,1.9,0.25,378
"Long rice noodles, made from mung beans, cooked",0,82.9,0.04,20.66,0.01,0.1,0.0,5
"Rice noodles, cooked",0,104.4,1.78,23.87,0.2,1.0,0.03,250
"Pasta, cooked",0,154.0,5.76,30.68,0.92,1.8,0.56,232
"Pasta, whole grain, cooked",0,158.7,5.95,29.89,1.7,3.9,0.75,235
"Pasta, gluten free",0,174.0,3.2,38.05,1.0,1.4,0.0,4
"Cereal, cooked, NFS",0,64.1,2.21,11.36,1.09,1.7,0.17,70
"Barley, NS as to fat",0,125.3,2.25,28.09,0.44,3.8,0.28,187
"Barley, no added fat",0,125.3,2.25,28.09,0.44,3.8,0.28,187
"Barley, fat added",0,142.2,2.2,27.23,2.72,3.7,0.27,202
"Buckwheat groats, NS as to fat",0,98.5,3.37,19.86,0.62,2.7,0.9,150
"Buckwheat groats, no added fat",0,98.5,3.37,19.86,0.62,2.7,0.9,150
"Buckwheat groats, fat added",0,118.9,3.22,18.99,3.34,2.6,0.86,174
"Grits, NS as to regular, quick, or instant, NS as to fat",0,69.9,1.19,12.2,1.82,0.7,0.09,82
"Grits, NS as to regular, quick, or instant, no added fat",0,57.0,1.2,12.41,0.28,0.7,0.09,70
"Grits, NS as to regular, quick, or instant, fat added",0,69.9,1.19,12.2,1.82,0.7,0.09,82
"Grits, regular or quick, made with water, NS as to fat",0,69.9,1.19,12.2,1.82,0.7,0.09,82
"Grits, regular or quick, made with water, no added fat",0,57.0,1.2,12.41,0.28,0.7,0.09,70
"Grits, regular or quick, made with water, fat added",0,69.9,1.19,12.2,1.82,0.7,0.09,82
"Grits, regular or quick, made with milk, NS as to fat",0,120.8,4.53,17.07,3.82,0.7,4.98,117
"Grits, regular or quick, made with milk, no added fat",0,108.6,4.6,17.37,2.3,0.7,5.07,105
"Grits, regular or quick, made with milk, fat added",0,120.8,4.53,17.07,3.82,0.7,4.98,117
"Grits, regular or quick, made with non-dairy milk, NS as to fat",0,99.7,2.23,15.95,3.0,0.9,3.12,139
"Grits, regular or quick, made with non-dairy milk, no added fat",0,87.2,2.26,16.23,1.47,0.9,3.18,127
"Grits, regular or quick, made with non-dairy milk, fat added",0,99.7,2.23,15.95,3.0,0.9,3.12,139
"Grits, with cheese, NS as to fat",0,107.1,3.56,11.36,5.27,0.6,0.12,144
"Grits, with cheese, no added fat",0,95.8,3.6,11.54,3.92,0.7,0.12,134
"Grits, with cheese, fat added",0,107.1,3.56,11.36,5.27,0.6,0.12,144
"Grits, instant, made with water, no added fat",0,68.5,1.38,14.84,0.4,0.8,0.29,215
"Grits, instant, made with water, fat added",0,88.4,1.36,14.36,2.83,0.8,0.28,230
"Grits, instant, made with water, NS as to fat",0,88.4,1.36,14.36,2.83,0.8,0.28,230
"Grits, instant, made with milk, fat added",0,128.2,3.98,18.18,4.39,0.8,4.11,257
"Grits, instant, made with milk, no added fat",0,109.7,4.09,18.79,2.02,0.8,4.25,244
"Grits, instant, made with milk, NS as to fat",0,128.2,3.98,18.18,4.39,0.8,4.11,257
"Grits, instant, made with non-dairy milk, NS as to fat",0,111.6,2.17,17.3,3.75,0.9,2.66,274
"Grits, instant, made with non-dairy milk, no added fat",0,92.7,2.23,17.88,1.36,0.9,2.74,261
"Grits, instant, made with non-dairy milk, fat added",0,111.6,2.17,17.3,3.75,0.9,2.66,274
"Cornmeal mush, NS as to fat",0,69.8,1.11,12.25,1.82,0.6,0.25,83
"Cornmeal mush, no added fat",0,56.9,1.12,12.47,0.28,0.6,0.25,71
"Cornmeal mush, fat added",0,69.8,1.11,12.25,1.82,0.6,0.25,83
"Cornmeal, Puerto Rican Style",0,148.4,4.11,28.12,2.16,0.5,17.75,151
Cornmeal dumpling,0,164.9,5.33,25.39,4.67,1.1,1.55,351
"Masa harina, cooked",0,99.9,2.26,20.5,0.99,1.7,0.43,283
"Millet, NS as to fat",0,117.3,3.5,23.57,1.0,1.3,0.13,168
"Millet, no added fat",0,117.3,3.5,23.57,1.0,1.3,0.13,168
"Millet, fat added",0,139.3,3.32,22.39,4.05,1.2,0.12,194
"Oatmeal, from fast food, plain",0,80.9,2.6,11.9,2.54,1.7,0.69,93
"Oatmeal, from fast food, maple flavored",0,111.9,2.4,20.34,2.33,1.6,9.95,163
"Oatmeal, from fast food, fruit flavored",0,126.6,2.28,24.56,2.14,1.9,14.22,147
"Oatmeal, from fast food, other flavors",0,111.9,2.4,20.34,2.33,1.6,9.95,163
"Oatmeal, NS as to regular, quick, or instant, NS as to fat",0,76.9,2.18,11.17,2.61,1.7,0.16,82
"Oatmeal, NS as to regular, quick, or instant, no added fat",0,64.1,2.21,11.36,1.09,1.7,0.17,70
"Oatmeal, NS as to regular, quick, or instant, fat added",0,76.9,2.18,11.17,2.61,1.7,0.16,82
"Oatmeal, regular or quick, made with water, NS as to fat",0,76.9,2.18,11.17,2.61,1.7,0.16,82
"Oatmeal, regular or quick, made with water, no added fat",0,64.1,2.21,11.36,1.09,1.7,0.17,70
"Oatmeal, regular or quick, made with water, fat added",0,76.9,2.18,11.17,2.61,1.7,0.16,82
"Oatmeal, regular or quick, made with milk, NS as to fat",0,127.2,5.48,15.99,4.59,1.7,5.0,117
"Oatmeal, regular or quick, made with milk, no added fat",0,115.3,5.57,16.27,3.1,1.7,5.09,105
"Oatmeal, regular or quick, made with milk, fat added",0,127.2,5.48,15.99,4.59,1.7,5.0,117
"Oatmeal, regular or quick, made with non-dairy milk, NS as to fat",0,106.3,3.21,14.88,3.77,1.8,3.16,138
"Oatmeal, regular or quick, made with non-dairy milk, no added fat",0,94.0,3.26,15.14,2.27,1.9,3.22,127
"Oatmeal, regular or quick, made with non-dairy milk, fat added",0,106.3,3.21,14.88,3.77,1.8,3.16,138
"Oatmeal, instant, plain, made with water, NS as to fat",0,93.1,2.2,12.74,3.7,1.8,0.28,65
"Oatmeal, instant, plain, made with water, no added fat",0,73.3,2.26,13.15,1.3,1.9,0.28,45
"Oatmeal, instant, plain, made with water, fat added",0,93.1,2.2,12.74,3.7,1.8,0.28,65
"Oatmeal, instant, plain, made with milk, NS as to fat",0,133.0,4.82,16.56,5.27,1.8,4.11,92
"Oatmeal, instant, plain, made with milk, no added fat",0,114.5,4.96,17.1,2.92,1.9,4.25,73
"Oatmeal,  instant, plain, made with milk, fat added",0,133.0,4.82,16.56,5.27,1.8,4.11,92
"Oatmeal, instant, plain, made with non-dairy milk, NS as to fat",0,116.3,3.02,15.67,4.62,2.0,2.65,109
"Oatmeal, instant, plain, made with non-dairy milk, no added fat",0,97.5,3.1,16.19,2.26,2.0,2.74,91
"Oatmeal, instant, plain, made with non-dairy milk, fat added",0,116.3,3.02,15.67,4.62,2.0,2.65,109
"Oatmeal, instant, maple flavored, NS as to fat",0,119.0,2.38,19.64,3.43,1.8,7.75,152
"Oatmeal, instant, maple flavored, no added fat",0,101.9,2.44,20.23,1.25,1.9,7.99,136
"Oatmeal, instant, maple flavored, fat added",0,119.0,2.38,19.64,3.43,1.8,7.75,152
"Oatmeal, instant, fruit flavored, NS as to fat",0,117.6,2.29,19.51,3.38,1.9,8.07,147
"Oatmeal, instant, fruit flavored, no added fat",0,100.4,2.34,20.09,1.19,1.9,8.32,131
"Oatmeal, instant, fruit flavored, fat added",0,117.6,2.29,19.51,3.38,1.9,8.07,147
"Oatmeal, instant, other flavors, NS as to fat",0,119.0,2.38,19.64,3.43,1.8,7.75,152
"Oatmeal, instant, other flavors, no added fat",0,101.9,2.44,20.23,1.25,1.9,7.99,136
"Oatmeal, instant, other flavors, fat added",0,119.0,2.38,19.64,3.43,1.8,7.75,152
"Oatmeal, reduced sugar, plain, NS as to fat",0,105.7,2.29,16.11,3.57,1.8,3.93,107
"Oatmeal, reduced sugar, plain, no added fat",0,87.4,2.35,16.62,1.28,1.9,4.05,90
"Oatmeal, reduced sugar, plain, fat added",0,105.7,2.29,16.11,3.57,1.8,3.93,107
"Oatmeal, made with milk and sugar, Puerto Rican style",0,147.4,4.63,26.33,2.62,1.4,17.09,233
"Oatmeal, reduced sugar, flavored, NS as to fat",0,105.7,2.29,16.11,3.57,1.8,3.93,107
"Oatmeal, reduced sugar, flavored, no added fat",0,87.4,2.35,16.62,1.28,1.9,4.05,90
"Oatmeal, reduced sugar, flavored, fat added",0,105.7,2.29,16.11,3.57,1.8,3.93,107
"Oatmeal, multigrain, NS as to fat",0,74.2,2.1,11.98,1.99,2.0,0.41,83
"Oatmeal, multigrain, no added fat",0,61.4,2.12,12.19,0.46,2.0,0.41,70
"Oatmeal, multigrain, fat added",0,74.2,2.1,11.98,1.99,2.0,0.41,83
"Quinoa, NS as to fat",0,140.4,4.18,20.22,4.75,2.7,0.82,188
"Quinoa, no added fat",0,119.6,4.38,21.21,1.91,2.8,0.87,163
"Quinoa, fat added",0,140.4,4.18,20.22,4.75,2.7,0.82,188
"Rice, cooked, NFS",0,125.2,2.67,27.99,0.28,0.4,0.05,245
"Rice, white, cooked, NS as to fat",0,125.2,2.67,27.99,0.28,0.4,0.05,244
"Rice, white, cooked, made with oil",0,147.2,2.6,27.19,3.12,0.4,0.05,238
"Rice, white, cooked, made with butter",0,142.5,2.62,27.2,2.58,0.4,0.05,256
"Rice, white, cooked, made with margarine",0,138.4,2.6,27.22,2.12,0.4,0.05,258
"Rice, white, cooked, fat added, NS as to fat type",0,144.0,2.6,27.2,2.76,0.4,0.05,247
"Rice, white, cooked, no added fat",0,125.2,2.67,27.99,0.28,0.4,0.05,245
"Rice, brown, cooked, NS as to fat",0,121.4,2.73,25.45,0.96,1.6,0.24,201
"Rice, brown, cooked, fat added, made with oil",0,139.5,2.66,24.86,3.27,1.6,0.23,197
"Rice, brown, cooked, made with butter",0,135.6,2.68,24.86,2.83,1.6,0.24,212
"Rice, brown, cooked, made with margarine",0,132.3,2.67,24.88,2.46,1.6,0.23,213
"Rice, brown, cooked, fat added, NS as to fat type",0,136.8,2.67,24.86,2.97,1.6,0.23,204
"Rice, brown, cooked, no added fat",0,121.4,2.73,25.45,0.96,1.6,0.24,202
"Rice, cream of, cooked, no added fat",0,66.6,1.17,15.28,0.09,0.1,0.06,69
"Rice, cooked, with milk",0,140.2,5.14,25.05,2.16,0.3,4.92,357
"Rice, sweet, cooked with honey",0,136.9,2.52,31.12,0.26,0.4,4.89,344
"Rice, creamed, made with milk and sugar, Puerto Rican style",0,87.4,2.22,17.46,0.96,0.1,8.76,122
"Rice, cream of, cooked, fat added",0,79.2,1.16,15.03,1.6,0.1,0.06,81
"Rice, cream of, cooked, NS as to fat",0,79.2,1.16,15.03,1.6,0.1,0.06,81
"Rice, cream of, cooked, made with milk",0,128.5,4.41,19.76,3.54,0.1,4.81,115
Congee,0,32.0,0.68,7.16,0.07,0.1,0.01,253
"Yellow rice, cooked, NS as to fat",0,87.6,1.8,19.1,0.45,0.5,0.45,340
"Yellow rice, cooked, no added fat",0,87.6,1.8,19.1,0.45,0.5,0.45,340
"Yellow rice, cooked, fat added",0,103.7,1.76,18.7,2.43,0.4,0.44,351
"Rice, white, cooked, glutinous",0,93.6,2.01,20.97,0.19,1.0,0.05,227
"Rice, wild, 100%, cooked, NS as to fat",0,125.7,3.86,20.63,3.08,1.7,0.71,231
"Rice, wild, 100%, cooked, no added fat",0,103.8,3.97,21.21,0.34,1.8,0.73,238
"Rice, wild, 100%, cooked, fat added",0,125.7,3.86,20.63,3.08,1.7,0.71,231
"Rice, white and wild, cooked, no added fat",0,77.6,1.82,17.22,0.16,0.5,0.11,401
"Rice, brown and wild, cooked, no added fat",0,119.1,2.89,24.9,0.88,1.6,0.3,206
"Rice, white and wild, cooked, fat added",0,110.4,2.17,20.62,2.14,0.5,0.13,510
"Rice, white and wild, cooked, NS as to fat",0,110.4,2.17,20.62,2.14,0.5,0.13,510
"Rice, brown and wild, cooked, fat added",0,137.7,2.82,24.31,3.24,1.6,0.3,202
"Rice, brown and wild, cooked, NS as to fat",0,112.5,2.26,19.81,2.69,1.0,0.25,510
"Rice, white, cooked with fat, Puerto Rican style",5,195.7,2.84,31.9,6.3,0.5,0.05,506
"Cream of wheat, NS as to regular, quick, or instant, NS as to fat",0,63.4,1.44,10.39,1.79,0.5,0.03,85
"Cream of wheat, NS as to regular, quick, or instant, no added fat",0,50.0,1.45,10.57,0.21,0.5,0.03,72
"Cream of wheat, NS as to regular, quick, or instant, fat added",0,63.4,1.44,10.39,1.79,0.5,0.03,85
"Cream of wheat, regular or quick, made with water, NS as to fat",0,63.4,1.44,10.39,1.79,0.5,0.03,85
"Cream of wheat, regular or quick, made with water, no added fat",0,50.0,1.45,10.57,0.21,0.5,0.03,72
"Cream of wheat, regular or quick, made with water, fat added",0,63.4,1.44,10.39,1.79,0.5,0.03,85
"Cream of wheat, regular or quick, made with milk, NS as to fat",0,115.1,4.84,15.35,3.82,0.5,5.01,120
"Cream of wheat, regular or quick, made with milk, no added fat",0,102.6,4.91,15.62,2.27,0.5,5.1,108
"Cream of wheat, regular or quick, made with milk, fat added",0,115.1,4.84,15.35,3.82,0.5,5.01,120
"Cream of wheat, regular or quick, made with non-dairy milk, NS as to fat",0,93.6,2.5,14.2,2.98,0.7,3.11,142
"Cream of wheat, regular or quick, made with non-dairy milk, no added fat",0,80.7,2.53,14.46,1.42,0.7,3.17,130
"Cream of wheat, regular or quick, made with non-dairy milk, fat added",0,93.6,2.5,14.2,2.98,0.7,3.11,142
"Cream of wheat, instant, made with water, no added fat",0,65.6,1.52,14.42,0.21,0.5,3.64,85
"Wheat, cream of, cooked, made with milk and sugar, Puerto Rican style",0,108.8,4.01,18.84,1.93,0.4,11.08,140
"Cream of wheat, instant, made with water, fat added",0,80.9,1.5,14.06,2.07,0.5,3.55,100
"Cream of wheat, instant, made with water, NS as to fat",0,80.9,1.5,14.06,2.07,0.5,3.55,100
"Cream of wheat, instant, made with milk, fat added",0,121.6,4.17,17.96,3.67,0.5,7.46,128
"Cream of wheat, instant, made with milk, no added fat",0,107.3,4.26,18.41,1.85,0.5,7.65,114
"Cream of wheat, instant, made with milk, NS as to fat",0,121.6,4.17,17.96,3.67,0.5,7.46,128
"Cream of wheat, instant, made with non-dairy milk, NS as to fat",0,104.6,2.33,17.06,3.01,0.6,5.98,145
"Cream of wheat, instant, made with non-dairy milk, no added fat",0,90.0,2.38,17.49,1.17,0.6,6.13,132
"Cream of wheat, instant, made with non-dairy milk, fat added",0,104.6,2.33,17.06,3.01,0.6,5.98,145
"Bulgur, no added fat",0,88.3,3.06,18.48,0.24,4.5,0.1,219
"Bulgur, fat added",0,118.3,2.87,17.32,4.17,4.2,0.09,249
"Bulgur, NS as to fat",0,88.3,3.06,18.48,0.24,4.5,0.1,219
"Couscous, plain, cooked",0,109.0,3.77,23.11,0.16,1.4,0.1,189
"Whole wheat cereal, cooked, NS as to fat",0,63.7,1.53,10.21,1.86,1.3,0.06,84
"Whole wheat cereal, cooked, no added fat",0,50.3,1.55,10.39,0.28,1.3,0.06,71
"Whole wheat cereal, cooked, fat added",0,63.7,1.53,10.21,1.86,1.3,0.06,84
"Wheat cereal, chocolate flavored, cooked",0,55.2,1.79,10.96,0.47,1.8,0.08,337
"Oat bran cereal, cooked, no added fat",0,73.7,3.21,12.28,1.3,2.9,0.27,69
"Oat bran cereal, cooked, fat added",0,86.1,3.17,12.08,2.79,2.8,0.26,81
"Oat bran cereal, cooked, NS as to fat",0,86.1,3.17,12.08,2.79,2.8,0.26,81
Cream of rye,0,42.2,1.28,8.86,0.18,1.4,0.13,139
"Cereal, nestum",0,64.1,2.21,11.36,1.09,1.7,0.17,70
"Cereal, oat, NFS",4,401.8,12.4,73.2,6.6,10.1,4.5,497
"Cereal, ready-to-eat, NFS",4,397.4,9.05,79.47,4.81,7.1,22.17,514
Cereal (Kellogg's All-Bran),4,393.6,13.14,74.24,4.9,29.3,15.69,258
Cereal (Post Alpha-Bits),4,402.6,10.0,80.3,4.6,7.1,21.0,592
Cereal (General Mills Cheerios Apple Cinnamon),1,407.6,8.3,79.9,6.09,7.3,34.2,390
Cereal (Kellogg's Apple Jacks),4,403.8,5.1,88.2,3.4,9.3,43.7,466
Cereal (Post Great Grains Banana Nut Crunch),4,402.0,9.8,70.9,8.8,11.2,17.5,238
Cereal (General Mills Cheerios Banana Nut),1,396.8,5.5,84.69,4.0,6.1,33.09,533
Cereal (General Mills Cheerios Berry Burst),4,397.7,8.8,80.5,4.5,7.6,27.0,639
Cereal (Quaker Cap'n Crunch),1,405.7,4.39,85.51,5.12,2.5,44.32,754
Cereal (Quaker Christmas Crunch),1,404.9,4.44,85.92,4.83,2.6,44.31,724
Cereal (Quaker Cap'n Crunch's Crunchberries),1,405.0,4.45,85.93,4.83,2.6,44.2,725
Cereal (Quaker Cap'n Crunch's Peanut Butter Crunch),1,426.1,7.1,78.65,9.23,2.7,33.36,742
Cereal (General Mills Cheerios),4,401.8,12.4,73.2,6.6,10.1,4.5,497
Cereal (General Mills Chex Chocolate),1,419.1,4.8,81.09,8.39,2.0,26.2,629
Cereal (General Mills Chex Cinnamon),1,408.9,5.0,82.4,6.59,2.4,26.1,605
Cereal (General Mills Cheerios Chocolate),1,403.0,5.8,83.5,5.09,6.2,34.09,556
"Cereal, chocolate flavored, frosted, puffed corn",1,393.7,3.34,87.2,3.5,3.8,43.7,534
Cereal (General Mills Lucky Charms Chocolate),1,399.6,5.59,84.4,4.4,5.3,36.79,539
Cereal (General Mills Cinnamon Toast Crunch),1,426.0,5.45,77.99,10.25,6.8,30.3,567
Cereal (General Mills 25% Less Sugar Cinnamon Toast Crunch),4,422.1,5.09,78.19,9.89,11.2,21.39,565
Cereal (General Mills Honey Nut Clusters),1,389.6,7.7,85.2,2.0,6.3,24.8,515
Cereal (Kellogg's Cocoa Krispies),1,394.3,4.6,87.9,2.7,1.4,38.6,424
Cereal (Post Cocoa Pebbles),1,398.9,4.8,85.7,4.1,1.6,35.8,594
Cereal (General Mills Cocoa Puffs),1,404.0,5.6,83.7,5.2,5.7,37.2,564
Cereal (General Mills Cookie Crisp),1,398.4,5.2,84.5,4.4,5.1,34.8,457
Cereal (General Mills Chex Corn),5,387.2,6.4,85.0,2.4,4.7,11.1,719
"Cereal, corn flakes",5,370.0,7.5,84.1,0.4,3.3,9.5,729
Cereal (Kellogg's Corn Flakes),5,370.0,7.5,84.1,0.4,3.3,9.5,729
