description,food_cluster,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",0,91.9,3.05,13.0,3.08,0.6,11.46,38
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",0,98.2,3.4,13.22,3.53,0.3,11.46,41
"Chocolate milk, NFS",0,67.4,3.39,13.46,0.0,0.0,8.39,79
"Chocolate milk, ready to drink, whole",0,84.6,3.17,10.34,3.39,0.8,9.54,60
"Chocolate milk, ready to drink, reduced fat",0,77.6,2.99,12.13,1.9,0.7,9.55,66
"Chocolate milk, ready to drink, fat free",0,67.4,3.39,13.46,0.0,0.0,8.39,79
"Chocolate milk, ready to drink, low fat",0,64.4,3.46,10.15,1.11,0.1,9.94,65
"Chocolate milk, ready to drink, reduced sugar, NS as to milk",0,53.8,3.43,7.68,1.04,0.0,7.29,66
"Chocolate milk, ready to drink, low fat (Nesquik)",0,64.4,3.46,10.15,1.11,0.1,9.94,65
"Chocolate milk, ready to drink, fat free (Nesquik)",0,67.4,3.39,13.46,0.0,0.0,8.39,79
"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",0,64.4,3.46,10.15,1.11,0.1,9.94,65
"Hot chocolate / Cocoa, ready to drink",0,90.9,2.72,16.54,1.54,0.0,15.18,60
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",0,77.8,2.79,16.52,0.06,0.0,15.31,61
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",0,80.4,1.21,16.68,0.98,0.2,14.62,75
"Hot chocolate / Cocoa, ready to drink, with whipped cream",0,103.1,2.73,15.89,3.18,0.0,14.6,58
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream",0,90.6,2.79,15.87,1.77,0.0,14.72,60
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",0,93.0,1.29,16.02,2.64,0.2,14.07,73
"Chocolate milk, made from dry mix, NS as to type of milk",0,72.2,3.41,10.13,2.01,0.3,9.63,45
"Chocolate milk, made from dry mix with whole milk",0,81.5,3.36,9.94,3.14,0.3,9.55,44
"Chocolate milk, made from dry mix with reduced fat milk",0,71.6,3.42,10.16,1.92,0.3,9.62,45
"Chocolate milk, made from dry mix with low fat milk",0,64.8,3.45,10.43,1.03,0.3,9.69,45
"Chocolate milk, made from dry mix with fat free milk",0,56.5,3.5,10.14,0.22,0.3,9.77,47
"Chocolate milk, made from dry mix with non-dairy milk",0,59.4,1.68,10.32,1.27,0.5,8.99,63
"Chocolate milk, made from reduced sugar mix, NS as to type of milk",0,63.7,3.59,7.61,2.1,0.4,5.86,59
"Chocolate milk, made from reduced sugar mix with whole milk",0,73.1,3.53,7.42,3.26,0.4,5.78,58
"Chocolate milk, made from reduced sugar mix with reduced fat milk",0,63.0,3.6,7.64,2.01,0.4,5.86,59
"Chocolate milk, made from reduced sugar mix with low fat milk",0,56.1,3.63,7.91,1.1,0.4,5.92,59
"Chocolate milk, made from reduced sugar mix with fat free milk",0,47.6,3.67,7.63,0.27,0.4,6.01,61
"Chocolate milk, made from reduced sugar mix with non-dairy milk",0,50.6,1.82,7.81,1.34,0.6,5.2,77
"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",0,72.2,3.41,10.13,2.01,0.3,9.63,45
"Chocolate milk, made from dry mix with whole milk (Nesquik)",0,81.5,3.36,9.94,3.14,0.3,9.55,44
"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",0,71.6,3.42,10.16,1.92,0.3,9.62,45
"Chocolate milk, made from dry mix with low fat milk (Nesquik)",0,64.8,3.45,10.43,1.03,0.3,9.69,45
"Chocolate milk, made from dry mix with fat free milk (Nesquik)",0,56.5,3.5,10.14,0.22,0.3,9.77,47
"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",0,59.4,1.68,10.32,1.27,0.5,8.99,63
"Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)",0,63.7,3.59,7.61,2.1,0.4,5.86,59
"Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)",0,73.1,3.53,7.42,3.26,0.4,5.78,58
"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",0,63.0,3.6,7.64,2.01,0.4,5.86,59
"Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)",0,56.1,3.63,7.91,1.1,0.4,5.92,59
"Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)",0,47.6,3.67,7.63,0.27,0.4,6.01,61
"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",0,50.6,1.82,7.81,1.34,0.6,5.2,77
"Chocolate milk, made from syrup, NS as to type of milk",0,79.8,2.89,13.18,1.73,0.0,12.23,54
"Chocolate milk, made from syrup with whole milk",0,88.3,2.84,13.0,2.77,0.0,12.16,53
"Chocolate milk, made from syrup with reduced fat milk",0,79.3,2.9,13.21,1.65,0.0,12.23,54
"Chocolate milk, made from syrup with low fat milk",0,72.9,2.93,13.45,0.82,0.0,12.29,54
"Chocolate milk, made from syrup with fat free milk",0,65.3,2.97,13.19,0.07,0.0,12.37,56
"Chocolate milk, made from syrup with non-dairy milk",0,68.0,1.29,13.36,1.04,0.2,11.64,70
"Chocolate milk, made from light syrup, NS as to type of milk",0,63.5,3.1,8.6,1.86,0.0,7.86,47
"Chocolate milk, made from light syrup with whole milk",0,72.1,3.04,8.42,2.92,0.0,7.79,46
"Chocolate milk, made from light syrup with reduced fat milk",0,62.9,3.1,8.63,1.78,0.0,7.86,47
"Chocolate milk, made from light syrup with low fat milk",0,56.6,3.13,8.87,0.95,0.0,7.92,47
"Chocolate milk, made from light syrup with fat free milk",0,48.9,3.18,8.61,0.19,0.0,8.0,48
"Chocolate milk, made from light syrup with non-dairy milk",0,51.6,1.48,8.78,1.17,0.2,7.27,63
"Chocolate milk, made from sugar free syrup, NS as to type of milk",0,55.3,3.28,6.04,2.0,0.4,4.31,77
"Chocolate milk, made from sugar free syrup with whole milk",0,63.8,3.23,5.87,3.05,0.4,4.24,76
"Chocolate milk, made from sugar free syrup with reduced fat milk",0,54.8,3.29,6.08,1.92,0.4,4.31,77
